Tipo de Coeficiente,Coeficiente,Erro Padrão,AIC,BIC,store_id,Modelo,store_type,store_size,city_code
ar.L1,0.41730055722932197,0.06187813530391811,2369.095380883224,2383.5471265243327,S0020," ARIMA(1,1,1)(2,0,0)[52]          ",ST04,36.0,ISTANBUL
ma.L1,-0.9484780943386347,0.02928525942733057,2369.095380883224,2383.5471265243327,S0020," ARIMA(1,1,1)(2,0,0)[52]          ",ST04,36.0,ISTANBUL
ar.S.L52,0.22634607577204507,0.09785729939427974,2369.095380883224,2383.5471265243327,S0020," ARIMA(1,1,1)(2,0,0)[52]          ",ST04,36.0,ISTANBUL
ar.S.L104,0.28758521706676277,0.15441551892375166,2369.095380883224,2383.5471265243327,S0020," ARIMA(1,1,1)(2,0,0)[52]          ",ST04,36.0,ISTANBUL
sigma2,2473187.1081821267,215147.00062509064,2369.095380883224,2383.5471265243327,S0020," ARIMA(1,1,1)(2,0,0)[52]          ",ST04,36.0,ISTANBUL
ma.L1,-0.6681060784981041,0.07365256825991068,1928.1998023798287,1933.9805006362722,S0022," ARIMA(0,1,1)(0,0,0)[52]          ",ST04,16.0,ISTANBUL
sigma2,110754.23105596616,9142.50846697361,1928.1998023798287,1933.9805006362722,S0022," ARIMA(0,1,1)(0,0,0)[52]          ",ST04,16.0,ISTANBUL
ma.L1,-0.8942173278385649,0.04930545079506714,2112.601279493509,2121.272326878174,S0023," ARIMA(0,1,1)(1,0,0)[52]          ",ST04,31.0,SANLIURFA
ar.S.L52,0.39472340645289516,0.08488953551640768,2112.601279493509,2121.272326878174,S0023," ARIMA(0,1,1)(1,0,0)[52]          ",ST04,31.0,SANLIURFA
sigma2,396638.4236671908,40980.48557248068,2112.601279493509,2121.272326878174,S0023," ARIMA(0,1,1)(1,0,0)[52]          ",ST04,31.0,SANLIURFA
ma.L1,-0.505428420571795,0.04926133778294875,2448.6587257326946,2460.2201222455815,S0026," ARIMA(0,1,2)(1,0,0)[52]          ",ST04,41.0,ISTANBUL
ma.L2,-0.3782056194982091,0.054473647073503606,2448.6587257326946,2460.2201222455815,S0026," ARIMA(0,1,2)(1,0,0)[52]          ",ST04,41.0,ISTANBUL
ar.S.L52,0.4572885668092014,0.07345851176190349,2448.6587257326946,2460.2201222455815,S0026," ARIMA(0,1,2)(1,0,0)[52]          ",ST04,41.0,ISTANBUL
sigma2,4736953.567412689,455733.0842984934,2448.6587257326946,2460.2201222455815,S0026," ARIMA(0,1,2)(1,0,0)[52]          ",ST04,41.0,ISTANBUL
intercept,2.3281371422983694,1.586694923009206,1584.924337555794,1593.5953849404593,S0030," ARIMA(0,1,1)(0,0,0)[52] intercept",ST03,13.0,KONYA
ma.L1,-0.8352564529444104,0.04339010337840123,1584.924337555794,1593.5953849404593,S0030," ARIMA(0,1,1)(0,0,0)[52] intercept",ST03,13.0,KONYA
sigma2,8307.346370028266,783.0793449177582,1584.924337555794,1593.5953849404593,S0030," ARIMA(0,1,1)(0,0,0)[52] intercept",ST03,13.0,KONYA
ar.L1,0.31649975932076957,0.09037266485510688,2334.802318495721,2349.2540641368296,S0038," ARIMA(1,1,1)(2,0,0)[52]          ",ST01,63.0,BURSA
ma.L1,-0.9079597303653035,0.05220438050030932,2334.802318495721,2349.2540641368296,S0038," ARIMA(1,1,1)(2,0,0)[52]          ",ST01,63.0,BURSA
ar.S.L52,0.21110138581924082,0.13173547264069493,2334.802318495721,2349.2540641368296,S0038," ARIMA(1,1,1)(2,0,0)[52]          ",ST01,63.0,BURSA
ar.S.L104,0.20040820892895794,0.2602758469618021,2334.802318495721,2349.2540641368296,S0038," ARIMA(1,1,1)(2,0,0)[52]          ",ST01,63.0,BURSA
sigma2,2120827.8398123006,236588.31591484378,2334.802318495721,2349.2540641368296,S0038," ARIMA(1,1,1)(2,0,0)[52]          ",ST01,63.0,BURSA
