Tipo de Coeficiente;Coeficiente;Erro Padrão;AIC;BIC;store_id;Modelo;store_type;store_size;city_code
ma.L2;-0,213818315;0,072791838;2054,766676;2069,255875;S0015; ARIMA(0,1,2)(2,0,0)[52]          ;ST04;19;ISTANBUL
ar.S.L52;0,128380936;0,094517989;2054,766676;2069,255875;S0015; ARIMA(0,1,2)(2,0,0)[52]          ;ST04;19;ISTANBUL
ar.S.L104;0,325414418;0,181145108;2054,766676;2069,255875;S0015; ARIMA(0,1,2)(2,0,0)[52]          ;ST04;19;ISTANBUL
sigma2;221877,3997;30806,13296;2054,766676;2069,255875;S0015; ARIMA(0,1,2)(2,0,0)[52]          ;ST04;19;ISTANBUL
ar.L1;-0,824822575;0,109568641;1705,438224;1717,029584;S0016; ARIMA(1,1,2)(0,0,0)[52]          ;ST03;11;ISTANBUL
ma.L1;0,14788987;0,091083108;1705,438224;1717,029584;S0016; ARIMA(1,1,2)(0,0,0)[52]          ;ST03;11;ISTANBUL
ma.L2;-0,767048265;0,074640783;1705,438224;1717,029584;S0016; ARIMA(1,1,2)(0,0,0)[52]          ;ST03;11;ISTANBUL
sigma2;18384,00068;1854,497037;1705,438224;1717,029584;S0016; ARIMA(1,1,2)(0,0,0)[52]          ;ST03;11;ISTANBUL
ar.L1;0,418928398;0,061483652;2386,052203;2400,541402;S0020; ARIMA(1,1,1)(2,0,0)[52]          ;ST04;36;ISTANBUL
ma.L1;-0,948971212;0,029049084;2386,052203;2400,541402;S0020; ARIMA(1,1,1)(2,0,0)[52]          ;ST04;36;ISTANBUL
ar.S.L52;0,225463823;0,097436972;2386,052203;2400,541402;S0020; ARIMA(1,1,1)(2,0,0)[52]          ;ST04;36;ISTANBUL
ar.S.L104;0,288416965;0,153357253;2386,052203;2400,541402;S0020; ARIMA(1,1,1)(2,0,0)[52]          ;ST04;36;ISTANBUL
sigma2;2462516,072;213363,9945;2386,052203;2400,541402;S0020; ARIMA(1,1,1)(2,0,0)[52]          ;ST04;36;ISTANBUL
ma.L1;-0,661939396;0,074110695;1943,607671;1949,40335;S0022; ARIMA(0,1,1)(0,0,0)[52]          ;ST04;16;ISTANBUL
sigma2;111546,3713;9213,911928;1943,607671;1949,40335;S0022; ARIMA(0,1,1)(0,0,0)[52]          ;ST04;16;ISTANBUL
ma.L1;-0,893201241;0,050669835;2128,139153;2136,832672;S0023; ARIMA(0,1,1)(1,0,0)[52]          ;ST04;31;SANLIURFA
ar.S.L52;0,388635495;0,086390155;2128,139153;2136,832672;S0023; ARIMA(0,1,1)(1,0,0)[52]          ;ST04;31;SANLIURFA
sigma2;404218,6243;42238,09459;2128,139153;2136,832672;S0023; ARIMA(0,1,1)(1,0,0)[52]          ;ST04;31;SANLIURFA
ma.L1;-0,506123355;0,049033627;2466,161336;2477,752696;S0026; ARIMA(0,1,2)(1,0,0)[52]          ;ST04;41;ISTANBUL
ma.L2;-0,377165506;0,054223548;2466,161336;2477,752696;S0026; ARIMA(0,1,2)(1,0,0)[52]          ;ST04;41;ISTANBUL
ar.S.L52;0,459927746;0,072578599;2466,161336;2477,752696;S0026; ARIMA(0,1,2)(1,0,0)[52]          ;ST04;41;ISTANBUL
sigma2;4702890,463;449960,8032;2466,161336;2477,752696;S0026; ARIMA(0,1,2)(1,0,0)[52]          ;ST04;41;ISTANBUL
intercept;2,401917675;1,585358195;1596,167165;1604,860684;S0030; ARIMA(0,1,1)(0,0,0)[52] intercept;ST03;13;KONYA
ma.L1;-0,833364689;0,043606739;1596,167165;1604,860684;S0030; ARIMA(0,1,1)(0,0,0)[52] intercept;ST03;13;KONYA
sigma2;8269,518506;774,0270149;1596,167165;1604,860684;S0030; ARIMA(0,1,1)(0,0,0)[52] intercept;ST03;13;KONYA
ar.L1;-0,664012737;0,227641188;1805,861382;1820,350581;S0032; ARIMA(1,1,3)(0,0,0)[52]          ;ST03;14;VAN
ma.L1;0,155372221;0,239309892;1805,861382;1820,350581;S0032; ARIMA(1,1,3)(0,0,0)[52]          ;ST03;14;VAN
ma.L2;-0,446858697;0,15465374;1805,861382;1820,350581;S0032; ARIMA(1,1,3)(0,0,0)[52]          ;ST03;14;VAN
ma.L3;-0,353688325;0,117542166;1805,861382;1820,350581;S0032; ARIMA(1,1,3)(0,0,0)[52]          ;ST03;14;VAN
sigma2;38159,33023;3212,345345;1805,861382;1820,350581;S0032; ARIMA(1,1,3)(0,0,0)[52]          ;ST03;14;VAN
ma.L1;-0,807292574;0,071305159;1113,443501;1118,131112;S0036; ARIMA(0,1,1)(0,0,0)[52]          ;ST04;21;DENIZLI
sigma2;104014,3559;14861,05893;1113,443501;1118,131112;S0036; ARIMA(0,1,1)(0,0,0)[52]          ;ST04;21;DENIZLI
ar.L1;0,320503628;0,087558072;2355,06478;2366,656139;S0038; ARIMA(1,1,1)(1,0,0)[52]          ;ST01;63;BURSA
ma.L1;-0,910486709;0,051259232;2355,06478;2366,656139;S0038; ARIMA(1,1,1)(1,0,0)[52]          ;ST01;63;BURSA
ar.S.L52;0,288325489;0,093303953;2355,06478;2366,656139;S0038; ARIMA(1,1,1)(1,0,0)[52]          ;ST01;63;BURSA
sigma2;2251754,574;208473,9975;2355,06478;2366,656139;S0038; ARIMA(1,1,1)(1,0,0)[52]          ;ST01;63;BURSA
ma.L1;-0,80255668;0,048243461;1668,812361;1674,608041;S0039; ARIMA(0,1,1)(0,0,0)[52]          ;ST03;15;ISTANBUL
sigma2;14444,08629;1677,608068;1668,812361;1674,608041;S0039; ARIMA(0,1,1)(0,0,0)[52]          ;ST03;15;ISTANBUL
intercept;3,298225175;2,912129793;2259,709279;2282,891998;S0040; ARIMA(1,1,4)(1,0,0)[52] intercept;ST04;42;KAHRAMANMARAS
ar.L1;0,64417289;0,216307887;2259,709279;2282,891998;S0040; ARIMA(1,1,4)(1,0,0)[52] intercept;ST04;42;KAHRAMANMARAS
ma.L1;-1,512305833;0,225091667;2259,709279;2282,891998;S0040; ARIMA(1,1,4)(1,0,0)[52] intercept;ST04;42;KAHRAMANMARAS
ma.L2;0,340120563;0,244032542;2259,709279;2282,891998;S0040; ARIMA(1,1,4)(1,0,0)[52] intercept;ST04;42;KAHRAMANMARAS
ma.L3;0,536900246;0,177264233;2259,709279;2282,891998;S0040; ARIMA(1,1,4)(1,0,0)[52] intercept;ST04;42;KAHRAMANMARAS
ma.L4;-0,356551907;0,101068701;2259,709279;2282,891998;S0040; ARIMA(1,1,4)(1,0,0)[52] intercept;ST04;42;KAHRAMANMARAS
ar.S.L52;0,297422994;0,117136398;2259,709279;2282,891998;S0040; ARIMA(1,1,4)(1,0,0)[52] intercept;ST04;42;KAHRAMANMARAS
sigma2;1093137,093;133026,2767;2259,709279;2282,891998;S0040; ARIMA(1,1,4)(1,0,0)[52] intercept;ST04;42;KAHRAMANMARAS
ma.L1;-0,701874942;0,068811307;1483,040352;1488,836031;S0041; ARIMA(0,1,1)(0,0,0)[52]          ;ST03;8;SAMSUN
sigma2;3621,627652;400,4825487;1483,040352;1488,836031;S0041; ARIMA(0,1,1)(0,0,0)[52]          ;ST03;8;SAMSUN
ma.L1;-0,582183103;0,070156771;1815,189733;1823,883252;S0045; ARIMA(0,1,2)(0,0,0)[52]          ;ST04;17;SANLIURFA
ma.L2;-0,30899306;0,088694407;1815,189733;1823,883252;S0045; ARIMA(0,1,2)(0,0,0)[52]          ;ST04;17;SANLIURFA
sigma2;42323,53181;3479,439533;1815,189733;1823,883252;S0045; ARIMA(0,1,2)(0,0,0)[52]          ;ST04;17;SANLIURFA
intercept;712,2273045;119,2549355;1137,934037;1144,886501;S0046; ARIMA(1,0,0)(0,0,0)[52] intercept;ST04;26;KAHRAMANMARAS
ar.L1;0,388308466;0,070292731;1137,934037;1144,886501;S0046; ARIMA(1,0,0)(0,0,0)[52] intercept;ST04;26;KAHRAMANMARAS
sigma2;209487,1592;25181,80103;1137,934037;1144,886501;S0046; ARIMA(1,0,0)(0,0,0)[52] intercept;ST04;26;KAHRAMANMARAS
intercept;10,4311486;3,486971102;1971,230302;1979,923822;S0050; ARIMA(0,1,1)(0,0,0)[52] intercept;ST04;31;ISTANBUL
ma.L1;-0,919719605;0,042614889;1971,230302;1979,923822;S0050; ARIMA(0,1,1)(0,0,0)[52] intercept;ST04;31;ISTANBUL
