Tipo de Coeficiente,Coeficiente,p_value,inter_conf_inf,inter_conf_sup,AIC,BIC,store_id,Modelo,store_type,store_size,city_code
stock_inicial,0.14871692498588043,0.22236041862232858,-0.09014699915250937,0.38758084912427027,1877.6546067977329,1941.4070823966529,S0080," ARIMA(1,0,1)(0,0,0)[52] intercept",ST03,14.0,ISTANBUL
Probin1_very_low,5.0422172648046395,0.00885156755943408,1.266981588447639,8.81745294116164,1877.6546067977329,1941.4070823966529,S0080," ARIMA(1,0,1)(0,0,0)[52] intercept",ST03,14.0,ISTANBUL
Probin1_low,-5.159815204086165,0.29978239832292986,-14.912974229757648,4.593343821585318,1877.6546067977329,1941.4070823966529,S0080," ARIMA(1,0,1)(0,0,0)[52] intercept",ST03,14.0,ISTANBUL
Probin1_moderate,2.7049480448171104,0.6981556450904287,-10.965618171489185,16.375514261123406,1877.6546067977329,1941.4070823966529,S0080," ARIMA(1,0,1)(0,0,0)[52] intercept",ST03,14.0,ISTANBUL
Probin1_high,-1.887119085102844,0.7549134013644173,-13.735527752184913,9.961289581979225,1877.6546067977329,1941.4070823966529,S0080," ARIMA(1,0,1)(0,0,0)[52] intercept",ST03,14.0,ISTANBUL
Probin1_very_high,4.7992279970899405,0.3673785146230235,-5.636061168679482,15.234517162859362,1877.6546067977329,1941.4070823966529,S0080," ARIMA(1,0,1)(0,0,0)[52] intercept",ST03,14.0,ISTANBUL
Probin2_very_low,2.638378104894112e-13,,,,1877.6546067977329,1941.4070823966529,S0080," ARIMA(1,0,1)(0,0,0)[52] intercept",ST03,14.0,ISTANBUL
Probin2_high,3.164671960158816e-14,0.9998674500985897,-3.733366517213015e-10,3.733999451605046e-10,1877.6546067977329,1941.4070823966529,S0080," ARIMA(1,0,1)(0,0,0)[52] intercept",ST03,14.0,ISTANBUL
Probin2_very_high,-4.0530981422485374e-15,,,,1877.6546067977329,1941.4070823966529,S0080," ARIMA(1,0,1)(0,0,0)[52] intercept",ST03,14.0,ISTANBUL
promo_discount_16,2.705892307176504e-15,,,,1877.6546067977329,1941.4070823966529,S0080," ARIMA(1,0,1)(0,0,0)[52] intercept",ST03,14.0,ISTANBUL
promo_discount_20,0.0,1.0,-7.947523911163036e-12,7.947523911163036e-12,1877.6546067977329,1941.4070823966529,S0080," ARIMA(1,0,1)(0,0,0)[52] intercept",ST03,14.0,ISTANBUL
promo_discount_35,0.0,1.0,-1.4719398811089936e-12,1.4719398811089936e-12,1877.6546067977329,1941.4070823966529,S0080," ARIMA(1,0,1)(0,0,0)[52] intercept",ST03,14.0,ISTANBUL
promo_discount_40,0.0,,0.0,0.0,1877.6546067977329,1941.4070823966529,S0080," ARIMA(1,0,1)(0,0,0)[52] intercept",ST03,14.0,ISTANBUL
promo_discount_50,0.0,,0.0,0.0,1877.6546067977329,1941.4070823966529,S0080," ARIMA(1,0,1)(0,0,0)[52] intercept",ST03,14.0,ISTANBUL
Primavera,-4.576038363608373,0.9738633494966032,-278.3235540418982,269.1714773146815,1877.6546067977329,1941.4070823966529,S0080," ARIMA(1,0,1)(0,0,0)[52] intercept",ST03,14.0,ISTANBUL
Verao,25.196265845891144,0.8628502154466939,-260.6769673581122,311.06949904989455,1877.6546067977329,1941.4070823966529,S0080," ARIMA(1,0,1)(0,0,0)[52] intercept",ST03,14.0,ISTANBUL
Outono,223.17845582335895,0.09709611795544777,-40.47193094839878,486.82884259511667,1877.6546067977329,1941.4070823966529,S0080," ARIMA(1,0,1)(0,0,0)[52] intercept",ST03,14.0,ISTANBUL
Feriados,101.05208508047798,0.04234920598337775,3.4898150062963538,198.61435515465962,1877.6546067977329,1941.4070823966529,S0080," ARIMA(1,0,1)(0,0,0)[52] intercept",ST03,14.0,ISTANBUL
ar.L1,0.9703429941903776,1.6697450226232629e-124,0.8902062584701897,1.0504797299105655,1877.6546067977329,1941.4070823966529,S0080," ARIMA(1,0,1)(0,0,0)[52] intercept",ST03,14.0,ISTANBUL
ma.L1,-0.5588247481177563,8.529115264132321e-11,-0.7275634845148802,-0.39008601172063245,1877.6546067977329,1941.4070823966529,S0080," ARIMA(1,0,1)(0,0,0)[52] intercept",ST03,14.0,ISTANBUL
sigma2,51754.066248936084,2.1468545863706538e-11,36604.55867748945,66903.57382038272,1877.6546067977329,1941.4070823966529,S0080," ARIMA(1,0,1)(0,0,0)[52] intercept",ST03,14.0,ISTANBUL
stock_inicial,0.4512109890083997,0.31324448101468283,-0.4257469717408548,1.328168949757654,2216.0727162022213,2276.9273520011902,S0083," ARIMA(1,0,1)(0,0,0)[52]          ",ST04,23.0,MERSIN
Probin1_very_low,4.022993104797244,0.6882006133640641,-15.625543206711303,23.67152941630579,2216.0727162022213,2276.9273520011902,S0083," ARIMA(1,0,1)(0,0,0)[52]          ",ST04,23.0,MERSIN
Probin1_low,0.6842124325136991,0.9586048300468184,-25.152334850427106,26.520759715454506,2216.0727162022213,2276.9273520011902,S0083," ARIMA(1,0,1)(0,0,0)[52]          ",ST04,23.0,MERSIN
Probin1_moderate,0.9116166520218548,0.9435108542758093,-24.30414531235881,26.12737861640252,2216.0727162022213,2276.9273520011902,S0083," ARIMA(1,0,1)(0,0,0)[52]          ",ST04,23.0,MERSIN
Probin1_high,-2.581279870348556,0.8622605095625359,-31.741468991843963,26.57890925114685,2216.0727162022213,2276.9273520011902,S0083," ARIMA(1,0,1)(0,0,0)[52]          ",ST04,23.0,MERSIN
Probin1_very_high,-7.596957822017126,0.39192128310098795,-24.988731599681515,9.79481595564726,2216.0727162022213,2276.9273520011902,S0083," ARIMA(1,0,1)(0,0,0)[52]          ",ST04,23.0,MERSIN
Probin2_very_low,-2.0263294627140458e-13,0.9999870249419883,-2.4422634310023567e-08,2.4422229044131024e-08,2216.0727162022213,2276.9273520011902,S0083," ARIMA(1,0,1)(0,0,0)[52]          ",ST04,23.0,MERSIN
Probin2_high,-4.319651775460652e-14,,,,2216.0727162022213,2276.9273520011902,S0083," ARIMA(1,0,1)(0,0,0)[52]          ",ST04,23.0,MERSIN
Probin2_very_high,-3.3051805219677787e-14,0.9999909655184336,-5.721140457398421e-09,5.721074353787982e-09,2216.0727162022213,2276.9273520011902,S0083," ARIMA(1,0,1)(0,0,0)[52]          ",ST04,23.0,MERSIN
promo_discount_16,1.366584476567207e-13,,,,2216.0727162022213,2276.9273520011902,S0083," ARIMA(1,0,1)(0,0,0)[52]          ",ST04,23.0,MERSIN
